iter	Passed	Remaining
945	24551	1401
946	24579	1375
947	24603	1349
948	24632	1323
949	24654	1297
950	24680	1271
951	24707	1245
952	24731	1219
953	24755	1193
954	24781	1167
955	24805	1141
956	24818	1115
957	24844	1089
958	24870	1063
959	24898	1037
960	24925	1011
961	24951	985
962	24975	959
963	24999	933
964	25028	907
965	25053	881
966	25078	855
967	25106	829
968	25131	803
969	25144	777
970	25171	751
971	25196	725
972	25222	699
973	25247	673
974	25274	648
975	25302	622
976	25328	596
977	25353	570
978	25378	544
979	25404	518
980	25430	492
981	25456	466
982	25485	440
983	25512	414
984	25527	388
985	25551	362
986	25579	336
987	25603	310
988	25629	285
989	25653	259
990	25679	233
991	25706	207
992	25731	181
993	25755	155
994	25781	129
995	25808	103
996	25833	77
997	25861	51
998	25885	25
999	25912	0
